Major,Majors_Numbers
Art Practice,1
Bioengineering,3
Biology,1
Chemical Engineering,2
Civil and Environmental Engineering,3
Computer Science,7
Earth Systems,2
Economics,3
Electrical Engineering,2
English,2
"Feminist, Gender, and Sexuality Studies",1
Human Biology,5
Management Science and Engineering,1
Materials Science and Engineering,1
Mathematical and Computational Science,1
Mathematics,1
Mechanical Engineering,2
Physics,3
Political Science,2
Product Design,3
Psychology,5
Public Policy,1
"Science, Technology, and Society",1
Sociology,2
Symbolic Systems,1
Undeclared,34
